Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Consultant Acheteur Bilingue,"Dakar, Sénégal",CDD,,Sante&Social,Non spécifié,CDD
Docteur en pharmacie,"114 Avenue Lamine Gueye, Dakar, Sénégal (à côté Centre commercial Touba Sandaga)",CDD,,Sante&Social,Non spécifié,CDD
Aide Soignant,"Guediawaye Hamo 5, Dakar, Sénégal",CDD,,Sante&Social,Non spécifié,CDD
Assistant (e) pour le Centre National de Microscopie Électronique de la Cité du Savoir,"Dakar, Sénégal",CDD,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",CDD
Stagiaire Assistant(e) Administratif(e),"Point E, Dakar, Sénégal",Prestation/Stage,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",Prestation/Stage
Assistant de direction,"Dakar, Sénégal",CDI/CDD,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",CDI/CDD
Support Excellence Associate,"Dakar, Sénégal",CDI/CDD,,Secretariat et Assistanat,Non spécifié,CDI/CDD
Sales Associate,"Dakar, Sénégal",CDI/CDD,,Secretariat et Assistanat,Non spécifié,CDI/CDD
Standardiste expérimenté(e) chargé(e) de la clientèle,"LIberté 6 Extension, VDN, Dakar, Sénégal",CDD,,Secretariat et Assistanat,"Accueil physique, gestion d’appels, communication",CDD
Assistant Directeur d’usine,"Dakar, Sénégal",CDD,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",CDD
Assistant de bureau,"Dakar, Sénégal",CDD,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",CDD
Assistant Traffic Manager,"Dakar, Sénégal",CDD,,Secretariat et Assistanat,"Organisation, rédaction, bureautique, planification",CDD
Responsable Economat,"Dakar, Sénégal",CDI,,Transport et Logistique,Non spécifié,CDI
Agent opérationnel,"Dakar, Sénégal",CDD,,Transport et Logistique,Non spécifié,CDD
Responsable Agence,"Dakar, Sénégal",CDD,,Transport et Logistique,Non spécifié,CDD
Chauffeur yango,Maristes usine bonnet rouge,Freelance,,Transport et Logistique,Non spécifié,Freelance
Guest Service-Driver,"Dakar, Sénégal",CDI/CDD,,Transport et Logistique,"Conduite, service client, entretien véhicule",CDI/CDD
Stage d’adaptation /  Stage académique ou scolaire – Non rémunéré,"LIberté 6 Extension VDN, Dakar, Sénégal",Stage,,Transport et Logistique,"Apprentissage, observation, assistance aux tâches",Stage
Assistant(e) Achat Bilingue,"Mbour, Sindia",CDD,,Transport et Logistique,"Organisation, rédaction, bureautique, planification",CDD
"Supply Chain Management,  Senior Associate,  Global Malaria (Commodity Access)","Dakar, Sénégal",CDD,,Transport et Logistique,Non spécifié,CDD
Chauffeur,"Maristes, Dakar",Prestation de Services,,Transport et Logistique,Non spécifié,Prestation de Services
"Program Lead, Refugees & Displaced Persons","Dakar, Sénégal",CDD,,Transport et Logistique,Non spécifié,CDD
